company_id,category,feature_name,feature_value,contribution,direction,description
78,patent,patent_count_3y,6.0,3.8,positive,최근 3년 특허 출원이 동일 산업 내 상위 29% 수준입니다.
78,employment,employee_growth_6m,0.1509,3.7,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 16% 수준입니다.
78,patent,registered_ratio_mature,1.0,3.5,positive,특허 등록 전환율이 동일 산업 내 상위 21% 수준입니다.
78,employment,employee_growth_acceleration,-0.1509,-1.7,negative,고용 증가 가속도가 동일 산업 내 하위 18% 수준에 그칩니다.
78,industry,industry_employee_growth_1y,0.0085,-1.4,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
78,industry,industry_rd_growth_1y,0.0998,-1.4,negative,소속 산업 R&D 투자 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
101,patent,patent_count_3y,23.0,4.9,positive,최근 3년 특허 출원이 동일 산업 내 상위 5% 수준입니다.
101,financial,revenue_cagr_best,1.5463,3.4,positive,중기(CAGR) 매출 성장률이 동일 산업 내 상위 19% 수준입니다.
101,patent,patent_momentum,1.0,3.3,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 27% 수준입니다.
101,employment,net_hiring_rate_6m,-0.2222,-3.3,negative,최근 6개월 순채용률이 동일 산업 내 하위 14% 수준에 그칩니다.
101,financial,operating_margin_change_1y,-0.7713,-3.2,negative,영업이익률 개선폭이 동일 산업 내 하위 11% 수준에 그칩니다.
101,financial,asset_growth_1y,-0.3289,-3.0,negative,최근 1년 자산 성장률이 동일 산업 내 하위 12% 수준에 그칩니다.
102,patent,patent_momentum,2.0,5.2,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 14% 수준입니다.
102,patent,patent_count_3y,22.0,4.6,positive,최근 3년 특허 출원이 동일 산업 내 상위 7% 수준입니다.
102,financial,operating_margin_change_1y,0.3355,2.6,positive,영업이익률 개선폭이 동일 산업 내 상위 18% 수준입니다.
102,financial,asset_growth_1y,-0.2158,-2.5,negative,최근 1년 자산 성장률이 동일 산업 내 하위 19% 수준에 그칩니다.
102,employment,employee_growth_acceleration,-0.1804,-2.1,negative,고용 증가 가속도가 동일 산업 내 하위 11% 수준에 그칩니다.
102,industry,industry_employee_growth_1y,0.0085,-1.4,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
103,employment,employee_growth_6m,0.2222,4.6,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 7% 수준입니다.
103,employment,net_hiring_rate_6m,0.2143,4.0,positive,최근 6개월 순채용률이 동일 산업 내 상위 5% 수준입니다.
103,financial,revenue_cagr_best,1.4495,3.0,positive,중기(CAGR) 매출 성장률이 동일 산업 내 상위 22% 수준입니다.
103,financial,revenue_growth_1y,-0.3714,-6.6,negative,최근 1년 매출 성장률이 동일 산업 내 하위 1% 수준에 그칩니다.
103,financial,operating_margin_change_1y,-3.0818,-4.0,negative,영업이익률 개선폭이 동일 산업 내 하위 1% 수준에 그칩니다.
103,patent,patent_momentum,0.0,-3.9,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
104,financial,asset_growth_1y,1.4987,2.9,positive,최근 1년 자산 성장률이 동일 산업 내 상위 15% 수준입니다.
104,financial,revenue_growth_1y,0.6412,2.4,positive,최근 1년 매출 성장률이 동일 산업 내 상위 32% 수준입니다.
104,financial,operating_margin_change_1y,0.1879,2.4,positive,영업이익률 개선폭이 동일 산업 내 상위 20% 수준입니다.
104,employment,employee_growth_6m,-0.2857,-4.6,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 7% 수준에 그칩니다.
104,employment,net_hiring_rate_6m,-0.338,-4.0,negative,최근 6개월 순채용률이 동일 산업 내 하위 5% 수준에 그칩니다.
104,patent,patent_momentum,0.0,-3.9,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
105,financial,operating_margin_change_1y,0.1028,1.8,positive,영업이익률 개선폭이 동일 산업 내 상위 27% 수준입니다.
105,news_event,growth_event_12m_count,8.0,1.1,positive,최근 12개월 성장 이벤트가 동일 산업 내 상위 34% 수준입니다.
105,industry,industry_startup_rate_latest,0.1509,1.0,positive,소속 산업 창업률이 전체 산업 대비 상위 25% 수준입니다.
105,patent,patent_count_3y,0.0,-9.5,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
105,financial,revenue_cagr_best,-0.1631,-4.1,negative,중기(CAGR) 매출 성장률이 동일 산업 내 하위 12% 수준에 그칩니다.
105,financial,revenue_growth_1y,-0.093,-4.0,negative,최근 1년 매출 성장률이 동일 산업 내 하위 20% 수준에 그칩니다.
106,financial,asset_growth_1y,2.4941,8.1,positive,최근 1년 자산 성장률이 동일 산업 내 상위 10% 수준입니다.
106,financial,liabilities_to_assets,0.0751,7.0,positive,자산 대비 부채 비율이 동일 산업 내 낮은 편입니다(안정 요인).
106,patent,patent_count_3y,9.0,3.5,positive,최근 3년 특허 출원이 동일 산업 내 상위 18% 수준입니다.
106,financial,operating_margin,-299.1228,-6.6,negative,영업이익률이 동일 산업 내 하위 1% 수준에 그칩니다.
106,employment,employee_growth_6m,-0.1875,-4.2,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 11% 수준에 그칩니다.
106,employment,net_hiring_rate_6m,-0.7253,-4.2,negative,최근 6개월 순채용률이 동일 산업 내 하위 3% 수준에 그칩니다.
107,financial,revenue_growth_1y,2.004,6.2,positive,최근 1년 매출 성장률이 동일 산업 내 상위 13% 수준입니다.
107,employment,employee_growth_6m,0.375,5.1,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 3% 수준입니다.
107,financial,operating_margin_change_1y,7.2575,4.5,positive,영업이익률 개선폭이 동일 산업 내 상위 6% 수준입니다.
107,patent,patent_momentum,0.0,-3.9,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
107,patent,patent_count_3y,0.0,-3.8,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
107,patent,registered_ratio_mature,0.0,-2.9,negative,특허 등록 전환율이 동일 산업 내 하위 9% 수준에 그칩니다.
108,patent,patent_count_3y,9.0,3.5,positive,최근 3년 특허 출원이 동일 산업 내 상위 18% 수준입니다.
108,news_event,growth_event_12m_count,31.0,2.3,positive,최근 12개월 성장 이벤트가 동일 산업 내 상위 16% 수준입니다.
108,patent,patent_momentum,0.9,2.2,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 35% 수준입니다.
108,financial,revenue_growth_1y,-0.1843,-6.2,negative,최근 1년 매출 성장률이 동일 산업 내 하위 13% 수준에 그칩니다.
108,employment,net_hiring_rate_6m,-0.0729,-2.0,negative,최근 6개월 순채용률이 동일 산업 내 하위 28% 수준에 그칩니다.
108,employment,employee_growth_6m,-0.0889,-1.9,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 32% 수준에 그칩니다.
109,financial,revenue_growth_1y,2.608,5.6,positive,최근 1년 매출 성장률이 동일 산업 내 상위 8% 수준입니다.
